127.0.0.1, 2012-03-17 20:28:11, GET, /examples/default/index, HTTP/1.1, 200, 0.012260
127.0.0.1, 2012-03-17 20:32:12, GET, /, HTTP/1.1, 303, 0.000986
127.0.0.1, 2012-03-17 20:32:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.026832
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002550
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001516
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002796
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003018
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003006
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001526
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.003966
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000512
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000645
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000666
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000954
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.001752
127.0.0.1, 2012-03-17 20:32:13, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000741
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.009071
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/default/index, HTTP/1.1, 200, 0.027121
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001379
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001353
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.002109
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.002054
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.003571
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.002692
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.002009
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001088
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001352
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001865
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.003369
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001008
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.002059
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.004248
127.0.0.1, 2012-03-17 20:32:16, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.002261
127.0.0.1, 2012-03-17 20:32:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000605
127.0.0.1, 2012-03-17 20:32:19, POST, /admin/default/index, HTTP/1.1, 303, 0.023479
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.046044
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.005486
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.006004
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.001243
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.002831
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.003194
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.000948
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000603
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.001656
127.0.0.1, 2012-03-17 20:32:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000633
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.003025
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.002326
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.002784
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.003517
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.002285
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.003668
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.002709
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.001278
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.001699
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.002627
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.001907
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.002494
127.0.0.1, 2012-03-17 20:32:19, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.001810
127.0.0.1, 2012-03-17 20:32:21, GET, /admin/default/index, HTTP/1.1, 303, 0.006117
127.0.0.1, 2012-03-17 20:32:21, GET, /admin/default/site, HTTP/1.1, 200, 0.039389
127.0.0.1, 2012-03-17 20:32:21, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.001821
127.0.0.1, 2012-03-17 20:32:21, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001521
127.0.0.1, 2012-03-17 20:32:21, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.002131
127.0.0.1, 2012-03-17 20:32:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.128869
127.0.0.1, 2012-03-17 20:32:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2012-03-17 20:32:21, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.217857
127.0.0.1, 2012-03-17 20:32:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.031069
127.0.0.1, 2012-03-17 20:32:28, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.038377
127.0.0.1, 2012-03-17 20:32:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.028458
127.0.0.1, 2012-03-18 12:46:02, GET, /, HTTP/1.1, 303, 0.002193
127.0.0.1, 2012-03-18 12:46:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.066832
127.0.0.1, 2012-03-18 12:46:05, GET, /admin/default/index, HTTP/1.1, 200, 0.049856
127.0.0.1, 2012-03-18 12:46:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2012-03-18 12:46:08, POST, /admin/default/index, HTTP/1.1, 303, 0.024258
127.0.0.1, 2012-03-18 12:46:08, GET, /admin/default/site, HTTP/1.1, 200, 0.041545
127.0.0.1, 2012-03-18 12:46:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2012-03-18 12:46:09, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.595184
127.0.0.1, 2012-03-18 12:46:09, POST, /admin/default/check_version, HTTP/1.1, 200, 1.576944
127.0.0.1, 2012-03-18 12:46:11, GET, /admin/wizard/index, HTTP/1.1, 200, 0.035320
127.0.0.1, 2012-03-18 12:46:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2012-03-18 12:46:18, POST, /admin/wizard/index, HTTP/1.1, 303, 0.019590
127.0.0.1, 2012-03-18 12:46:18, GET, /admin/wizard/step1, HTTP/1.1, 200, 0.497411
127.0.0.1, 2012-03-18 12:46:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2012-03-18 12:46:45, POST, /admin/wizard/step1, HTTP/1.1, 303, 0.028168
127.0.0.1, 2012-03-18 12:46:45, GET, /admin/wizard/step2, HTTP/1.1, 200, 0.031524
127.0.0.1, 2012-03-18 12:46:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000368
127.0.0.1, 2012-03-18 12:46:57, POST, /admin/wizard/step2, HTTP/1.1, 303, 0.020346
127.0.0.1, 2012-03-18 12:46:57, GET, /admin/wizard/step3/0, HTTP/1.1, 200, 0.032302
127.0.0.1, 2012-03-18 12:46:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2012-03-18 12:47:01, POST, /admin/wizard/step3/0, HTTP/1.1, 303, 0.018328
127.0.0.1, 2012-03-18 12:47:01, GET, /admin/wizard/step4, HTTP/1.1, 200, 0.034650
127.0.0.1, 2012-03-18 12:47:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2012-03-18 12:47:05, POST, /admin/wizard/step4, HTTP/1.1, 303, 0.018638
127.0.0.1, 2012-03-18 12:47:05, GET, /admin/wizard/step5/0, HTTP/1.1, 200, 0.031859
127.0.0.1, 2012-03-18 12:47:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2012-03-18 12:47:09, POST, /admin/wizard/step5/0, HTTP/1.1, 303, 0.017515
127.0.0.1, 2012-03-18 12:47:09, GET, /admin/wizard/step5/1, HTTP/1.1, 200, 0.031923
127.0.0.1, 2012-03-18 12:47:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2012-03-18 12:47:11, POST, /admin/wizard/step5/1, HTTP/1.1, 303, 0.017057
127.0.0.1, 2012-03-18 12:47:11, GET, /admin/wizard/step6, HTTP/1.1, 200, 0.032641
127.0.0.1, 2012-03-18 12:47:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2012-03-18 12:47:16, POST, /admin/wizard/step6, HTTP/1.1, 303, 0.062169
127.0.0.1, 2012-03-18 12:47:16, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.029634
127.0.0.1, 2012-03-18 12:47:16, GET, /admin/static/images/button.png, HTTP/1.1, 404, 0.000836
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/default/index, HTTP/1.1, 200, 0.835456
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/js/calendar.js, HTTP/1.1, 200, 0.001553
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/js/jquery.js, HTTP/1.1, 200, 0.002912
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/css/calendar.css, HTTP/1.1, 200, 0.002636
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003435
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/js/web2py.js, HTTP/1.1, 200, 0.002087
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/css/skeleton.css, HTTP/1.1, 200, 0.001456
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/css/web2py.css, HTTP/1.1, 200, 0.000665
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/css/superfish.css, HTTP/1.1, 200, 0.001627
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/js/superfish.js, HTTP/1.1, 200, 0.001015
127.0.0.1, 2012-03-18 12:47:17, GET, /hiremeintech/static/images/poweredby.png, HTTP/1.1, 200, 0.000761
127.0.0.1, 2012-03-18 12:47:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000509
127.0.0.1, 2012-03-18 12:47:25, GET, /admin/default/design/hiremeintech, HTTP/1.1, 200, 0.095070
127.0.0.1, 2012-03-18 12:47:26, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.002383
127.0.0.1, 2012-03-18 12:47:26, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.002190
127.0.0.1, 2012-03-18 12:47:26, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001833
127.0.0.1, 2012-03-18 12:47:26, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001945
127.0.0.1, 2012-03-18 12:47:26, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.002098
127.0.0.1, 2012-03-18 12:47:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2012-03-18 12:52:38, GET, /hiremeintech/appadmin/index, HTTP/1.1, 200, 0.042375
127.0.0.1, 2012-03-18 12:52:38, GET, /hiremeintech/static/favicon.ico, HTTP/1.1, 200, 0.000587
127.0.0.1, 2012-03-18 12:52:44, GET, /hiremeintech/appadmin/select/db, HTTP/1.1, 200, 0.045619
127.0.0.1, 2012-03-18 13:01:24, GET, /, HTTP/1.1, 303, 0.000906
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.030678
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001896
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005549
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.006045
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008532
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.011336
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002404
127.0.0.1, 2012-03-18 13:01:24, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.001649
